followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,bot
903,1,50,0,FALSE,3654,FALSE,FALSE,FALSE,1
108,10,9,10,FALSE,537,FALSE,FALSE,FALSE,1
190,1,23,1,FALSE,4032,FALSE,FALSE,FALSE,1
675,118,66,8,FALSE,15437,FALSE,FALSE,FALSE,1
1,340,0,33,FALSE,49,TRUE,FALSE,FALSE,1
89,1225,0,2,FALSE,2,TRUE,FALSE,FALSE,1
1076,0,40,0,FALSE,12674,FALSE,FALSE,FALSE,1
399,679,20,64,FALSE,26073,FALSE,FALSE,FALSE,1
394,3537,0,46,FALSE,349,FALSE,FALSE,FALSE,1
4,96,0,3,FALSE,0,TRUE,TRUE,FALSE,1
0,140,0,2,FALSE,12,TRUE,TRUE,TRUE,1
1334,0,13,7,FALSE,59023,TRUE,FALSE,FALSE,1
36,1,6,0,FALSE,510,TRUE,TRUE,FALSE,1
8,1,1,0,FALSE,29,FALSE,FALSE,FALSE,1
1451,1,44,0,FALSE,15020,FALSE,FALSE,FALSE,1
1807,101,258,124,FALSE,125403,FALSE,FALSE,FALSE,1
1,63,0,0,FALSE,1,TRUE,TRUE,FALSE,1
82,49,10,0,FALSE,16728,FALSE,FALSE,FALSE,1
2,20,0,66,FALSE,127,TRUE,FALSE,FALSE,1
0,25,0,56,FALSE,73,TRUE,FALSE,FALSE,1
78,1,14,0,FALSE,4438,FALSE,FALSE,FALSE,1
403,6,16,1,FALSE,12395,FALSE,FALSE,FALSE,1
7324,456,202,5109,TRUE,3334,FALSE,FALSE,FALSE,1
68,0,15,1,FALSE,25193,TRUE,FALSE,FALSE,1
108,1,20,0,FALSE,19770,TRUE,FALSE,FALSE,1
120,0,22,0,FALSE,5614,TRUE,FALSE,FALSE,1
0,330,0,21,FALSE,29,TRUE,FALSE,FALSE,1
0,22,0,71,FALSE,100,TRUE,FALSE,FALSE,1
15,19,0,0,FALSE,19,FALSE,FALSE,FALSE,1
23,0,7,0,FALSE,63,FALSE,FALSE,FALSE,1
127,180,6,76087,FALSE,12702,FALSE,FALSE,TRUE,1
175986,14914,1829,1,FALSE,18839,TRUE,FALSE,FALSE,1
731,1,28,0,FALSE,2576,TRUE,FALSE,FALSE,1
182,0,6,0,FALSE,433,TRUE,FALSE,FALSE,1
123,0,35,0,FALSE,29410,TRUE,FALSE,FALSE,1
1287,1,116,0,FALSE,62797,TRUE,FALSE,FALSE,1
110,1797,0,12,FALSE,4,TRUE,FALSE,FALSE,1
9,0,6,0,FALSE,1412,FALSE,FALSE,TRUE,1
102437,3,500,0,FALSE,13953,FALSE,FALSE,FALSE,1
4,350,0,4,FALSE,6,TRUE,FALSE,,1
1,44,0,66,FALSE,78,TRUE,FALSE,FALSE,1
281,5,1,1,FALSE,22739,TRUE,FALSE,FALSE,1
104669,5438,979,385,FALSE,7897,FALSE,FALSE,FALSE,1
23472,2,653,120,FALSE,59327,TRUE,FALSE,FALSE,1
43,1,13,4,FALSE,26955,TRUE,FALSE,FALSE,1
11,74,0,0,FALSE,1,TRUE,FALSE,FALSE,1
928,0,20,0,FALSE,71773,TRUE,FALSE,FALSE,1
63,2,15,1,FALSE,2672,TRUE,FALSE,FALSE,1
71,2,14,1,FALSE,644,TRUE,FALSE,FALSE,1
131,2,27,0,FALSE,4499,TRUE,FALSE,FALSE,1
171,4,13,1,FALSE,8808,FALSE,FALSE,FALSE,1
6859,5458,279,73498,FALSE,46537,TRUE,FALSE,FALSE,1
3730,21,5204,155,FALSE,306026,FALSE,FALSE,FALSE,1
4,244,0,10,FALSE,17,TRUE,FALSE,FALSE,1
277,4887,5,1,FALSE,41,TRUE,FALSE,FALSE,1
31,23,4,2,FALSE,170,TRUE,FALSE,FALSE,1
1078,0,23,0,FALSE,2,FALSE,FALSE,FALSE,1
8,0,1,0,FALSE,123,TRUE,FALSE,TRUE,1
14,3,7,0,FALSE,13752,TRUE,FALSE,FALSE,1
9978,10829,9,681,FALSE,862,TRUE,FALSE,TRUE,1
0,32,0,69,FALSE,93,TRUE,FALSE,FALSE,1
204,1,34,0,FALSE,7491,FALSE,FALSE,FALSE,1
20,9,2,0,FALSE,2311,TRUE,FALSE,FALSE,1
109,153,0,25,FALSE,24,TRUE,FALSE,TRUE,1
539,10,36,5,FALSE,212479,TRUE,FALSE,FALSE,1
227,292,0,0,FALSE,12,TRUE,TRUE,FALSE,1
105,4,4,0,FALSE,1571,FALSE,FALSE,FALSE,1
1022,0,96,0,FALSE,403392,FALSE,FALSE,FALSE,1
33,1526,0,1,FALSE,1,TRUE,FALSE,FALSE,1
4,19,0,0,FALSE,0,TRUE,TRUE,,1
1,342,0,41,FALSE,43,TRUE,FALSE,FALSE,1
0,310,0,17,FALSE,27,TRUE,FALSE,FALSE,1
1,420,0,88,FALSE,80,TRUE,FALSE,FALSE,1
0,346,0,14,FALSE,28,TRUE,FALSE,FALSE,1
23,0,10,0,FALSE,376,FALSE,FALSE,FALSE,1
254,16,31,43,FALSE,13695,FALSE,FALSE,FALSE,1
20,9,4,0,FALSE,445,TRUE,FALSE,FALSE,1
516,0,27,0,FALSE,4145,TRUE,FALSE,FALSE,1
5,464,0,78,FALSE,88,TRUE,FALSE,FALSE,1
447990,487927,4233,4055,FALSE,107503,FALSE,FALSE,FALSE,1
1,338,0,26,FALSE,30,TRUE,FALSE,FALSE,1
255,1,28,0,FALSE,12821,TRUE,FALSE,FALSE,1
16,1862,0,285,FALSE,392,FALSE,FALSE,FALSE,1
268,99,56,0,FALSE,5099,TRUE,FALSE,FALSE,1
742,38,27,3,FALSE,367778,TRUE,FALSE,FALSE,1
61,31,14,0,FALSE,627,TRUE,FALSE,FALSE,1
105,1,13,9,FALSE,570,FALSE,FALSE,TRUE,1
26,35,7,9,FALSE,9117,FALSE,FALSE,FALSE,1
13,1,2,0,FALSE,1035,FALSE,FALSE,FALSE,1
7724,22,186,9,FALSE,16682,TRUE,FALSE,FALSE,1
38413,2,438,2722,FALSE,146227,FALSE,FALSE,FALSE,1
124,158,10,55,FALSE,3597,FALSE,FALSE,FALSE,1
142,14,12,0,FALSE,26,TRUE,FALSE,FALSE,1
434,0,41,0,FALSE,3033,FALSE,FALSE,FALSE,1
9,462,0,84,FALSE,72,TRUE,FALSE,FALSE,1
44,0,5,5,FALSE,1220,TRUE,TRUE,FALSE,1
505,3673,0,745,FALSE,595,TRUE,FALSE,FALSE,1
67078,0,940,0,FALSE,12064,FALSE,FALSE,FALSE,1
19048,2,135,7,FALSE,220592,TRUE,FALSE,FALSE,1
69508,70633,441,109,FALSE,423314,FALSE,FALSE,TRUE,1
0,100,0,0,FALSE,0,TRUE,TRUE,,1
30,0,11,0,FALSE,1560,TRUE,FALSE,FALSE,1
1,116,0,0,FALSE,1,TRUE,TRUE,FALSE,1
0,34,0,37,FALSE,61,TRUE,FALSE,FALSE,1
261,1,46,1,FALSE,4776,FALSE,FALSE,FALSE,1
1058,1,83,0,FALSE,7678,TRUE,FALSE,FALSE,1
15,1,7,2,FALSE,75,TRUE,FALSE,FALSE,1
14,0,7,2,FALSE,3422,FALSE,FALSE,FALSE,1
2,106,0,0,FALSE,1,TRUE,TRUE,,1
344,24,8,1,FALSE,161,TRUE,FALSE,FALSE,1
78,221,0,261,FALSE,1953,FALSE,FALSE,FALSE,1
21,19,3,0,FALSE,1160,TRUE,FALSE,FALSE,1
12,33,0,47,FALSE,65,TRUE,FALSE,FALSE,1
669,7,162,9396,FALSE,21522,FALSE,FALSE,FALSE,1
0,34,0,0,FALSE,0,TRUE,TRUE,,1
324,0,23,0,FALSE,6664,FALSE,FALSE,FALSE,1
283,443,1,4021,FALSE,2864,TRUE,TRUE,FALSE,1
95,3,0,0,FALSE,2464,FALSE,FALSE,FALSE,1
571,15,19,1,FALSE,1181,TRUE,FALSE,FALSE,1
20,1827,0,312,FALSE,387,FALSE,FALSE,FALSE,1
3,523,0,87,FALSE,113,TRUE,FALSE,FALSE,1
16,25,3,1,FALSE,150,FALSE,FALSE,TRUE,1
782,0,14,0,FALSE,276,TRUE,FALSE,FALSE,1
6,0,4,0,FALSE,241,FALSE,FALSE,TRUE,1
187,1,36,1,FALSE,10881,FALSE,FALSE,FALSE,1
659,806,19,1,FALSE,9565,TRUE,FALSE,FALSE,1
9,89,0,0,FALSE,4,TRUE,TRUE,FALSE,1
40,0,14,0,FALSE,884,TRUE,FALSE,FALSE,1
2,350,0,32,FALSE,34,TRUE,FALSE,FALSE,1
1,365,0,29,FALSE,25,TRUE,FALSE,FALSE,1
160,3,17,1,FALSE,4080,TRUE,FALSE,FALSE,1
972,43,24,253,FALSE,7460,FALSE,FALSE,FALSE,1
34,22,9,0,FALSE,19078,TRUE,FALSE,FALSE,1
176,5,16,0,FALSE,5685,TRUE,FALSE,FALSE,1
156,1,19,0,FALSE,22280,FALSE,FALSE,FALSE,1
736,3482,4,22,FALSE,681,TRUE,FALSE,FALSE,1
2,323,0,40,FALSE,34,TRUE,FALSE,FALSE,1
76,0,4,0,FALSE,183,TRUE,FALSE,FALSE,1
970,1642,15,145,FALSE,976,FALSE,FALSE,FALSE,1
32,0,10,0,FALSE,1038,FALSE,FALSE,FALSE,1
762,317,29,293,FALSE,40206,FALSE,FALSE,FALSE,1
231,0,15,0,FALSE,622,TRUE,FALSE,FALSE,1
7,664,1,157,FALSE,187,TRUE,FALSE,FALSE,1
531,1,44,0,FALSE,25992,TRUE,FALSE,FALSE,1
23,0,1,2,FALSE,99,TRUE,FALSE,FALSE,1
3,49,0,4,FALSE,1,TRUE,TRUE,FALSE,1
139,7,6,3,FALSE,497,FALSE,FALSE,FALSE,1
66,601,2,25,FALSE,1697,FALSE,FALSE,FALSE,1
693,386,14,18,FALSE,3271,TRUE,FALSE,FALSE,1
3,57,0,0,FALSE,1,TRUE,FALSE,FALSE,1
0,60,0,0,FALSE,0,TRUE,TRUE,,1
55,1,8,0,FALSE,1841755,TRUE,FALSE,FALSE,1
64,32,8,2,FALSE,4269,TRUE,FALSE,FALSE,1
102,2,3,0,FALSE,51833,TRUE,FALSE,FALSE,1
0,290,0,30,FALSE,35,TRUE,FALSE,FALSE,1
1214,2573,30,967,FALSE,415,FALSE,FALSE,FALSE,1
18,3,4,0,FALSE,1817,TRUE,FALSE,FALSE,1
255,5,8,0,FALSE,288,FALSE,FALSE,FALSE,1
72,0,20,0,FALSE,2233,TRUE,FALSE,FALSE,1
253,57,18,9,FALSE,36435,TRUE,FALSE,FALSE,1
0,346,0,30,FALSE,39,TRUE,FALSE,FALSE,1
244,0,21,0,FALSE,14990,TRUE,FALSE,FALSE,1
20,1,6,0,FALSE,1578,FALSE,FALSE,FALSE,1
0,68,0,0,FALSE,1,TRUE,FALSE,TRUE,1
1929,2753,28,1843,FALSE,10337,FALSE,FALSE,FALSE,1
660,0,23,0,FALSE,4773,TRUE,FALSE,FALSE,1
358,1,15,1,FALSE,42988,TRUE,FALSE,FALSE,1
1,259,0,14,FALSE,33,TRUE,FALSE,FALSE,1
25,897,0,38,FALSE,20,TRUE,TRUE,FALSE,1
2,97,0,0,FALSE,0,TRUE,TRUE,FALSE,1
1056,1576,76,55901,FALSE,87824,TRUE,FALSE,FALSE,1
17504,0,62,0,FALSE,27782,FALSE,FALSE,FALSE,1
12,2034,0,333,FALSE,476,FALSE,FALSE,FALSE,1
68,1,15,1,FALSE,401,TRUE,FALSE,FALSE,1
12,0,6,0,FALSE,156,TRUE,FALSE,FALSE,1
6027,0,36,2,FALSE,116980,FALSE,FALSE,FALSE,1
3947,4728,94,70947,FALSE,91770,FALSE,FALSE,FALSE,1
25,1935,0,267,FALSE,368,FALSE,FALSE,FALSE,1
3,519,0,97,FALSE,107,TRUE,FALSE,FALSE,1
3,6,1,16,FALSE,17,TRUE,TRUE,FALSE,1
560,0,17,0,FALSE,17873,FALSE,FALSE,FALSE,1
0,30,0,39,FALSE,60,TRUE,FALSE,FALSE,1
12,1,2,0,FALSE,692,TRUE,FALSE,FALSE,1
4,259,0,12,FALSE,12,TRUE,FALSE,FALSE,1
0,100,0,0,FALSE,0,TRUE,TRUE,,1
17,500,0,1,FALSE,4,TRUE,FALSE,FALSE,1
49,1537,0,0,FALSE,1,TRUE,FALSE,FALSE,1
638,60,0,1,FALSE,4647,TRUE,FALSE,FALSE,1
21172,20058,162,0,FALSE,80502,TRUE,FALSE,FALSE,1
547,650,15,1,FALSE,6857,TRUE,FALSE,FALSE,1
0,34,0,55,FALSE,71,TRUE,FALSE,FALSE,1
116,1,14,1,FALSE,1031,FALSE,FALSE,FALSE,1
194,3,18,0,FALSE,5652,TRUE,FALSE,FALSE,1
12368,0,265,34,FALSE,587,FALSE,FALSE,FALSE,1
2682,403,180,6309,FALSE,72033,TRUE,FALSE,TRUE,1
176,2,19,0,FALSE,23319,TRUE,TRUE,FALSE,1
160,12,24,0,FALSE,14279,TRUE,FALSE,FALSE,1
18,0,9,0,FALSE,1590,FALSE,FALSE,TRUE,1
35,1,9,0,FALSE,4402,TRUE,FALSE,FALSE,1
5,714,0,124,FALSE,189,TRUE,FALSE,FALSE,1
1829,8,51,62,FALSE,27851,TRUE,FALSE,FALSE,1
1,262,0,25,FALSE,28,TRUE,FALSE,FALSE,1
0,26,0,39,FALSE,57,TRUE,FALSE,FALSE,1
152,0,85,0,FALSE,3301,TRUE,FALSE,FALSE,1
24,2000,0,273,FALSE,315,FALSE,FALSE,FALSE,1
162,0,14,0,FALSE,20469,TRUE,FALSE,FALSE,1
62,0,13,0,FALSE,166,TRUE,FALSE,FALSE,1
107,334,21,19,FALSE,5394,TRUE,FALSE,FALSE,1
0,231,0,17,FALSE,20,TRUE,FALSE,FALSE,1
509,35,33,0,FALSE,10551,FALSE,FALSE,FALSE,1
288,1,16,0,FALSE,3427,TRUE,FALSE,FALSE,1
117,353,10,7,FALSE,2853,FALSE,FALSE,FALSE,1
198,2,20,1,FALSE,11675,FALSE,FALSE,FALSE,1
2,12,0,202,FALSE,0,TRUE,TRUE,,1
873,8,4,0,FALSE,20734,TRUE,FALSE,FALSE,1
99,0,24,0,FALSE,75,FALSE,FALSE,FALSE,1
134,0,17,0,FALSE,7597,FALSE,FALSE,FALSE,1
15,1,5,0,FALSE,5017,TRUE,FALSE,FALSE,1
4,47,0,0,FALSE,1,FALSE,FALSE,FALSE,1
145,1,19,0,FALSE,6758,TRUE,FALSE,FALSE,1
19,1952,2,290,FALSE,420,FALSE,FALSE,FALSE,1
1,236,0,25,FALSE,24,TRUE,FALSE,FALSE,1
41,1,17,0,FALSE,3048,FALSE,FALSE,FALSE,1
1,80,0,0,FALSE,1,TRUE,FALSE,TRUE,1
1229,83,49,21,FALSE,614,FALSE,FALSE,FALSE,1
1,341,0,33,FALSE,42,TRUE,FALSE,FALSE,1
167,5,2,0,FALSE,607,TRUE,FALSE,FALSE,1
1129,7,2,0,FALSE,23557,FALSE,FALSE,FALSE,1
0,22,0,0,FALSE,1,TRUE,TRUE,FALSE,1
3,0,3,0,FALSE,1050,TRUE,FALSE,FALSE,1
505,13,49,0,FALSE,5109,FALSE,FALSE,FALSE,1
15,0,11,0,FALSE,31365,TRUE,FALSE,FALSE,1
16,1,4,0,FALSE,1832,FALSE,FALSE,FALSE,1
41,394,0,3,FALSE,4,TRUE,FALSE,TRUE,1
549,370,12,12,FALSE,4658,FALSE,FALSE,FALSE,1
0,60,0,0,FALSE,10,TRUE,FALSE,FALSE,1
0,43,4,48,FALSE,86,TRUE,FALSE,FALSE,1
102,3,21,0,FALSE,10873,TRUE,FALSE,FALSE,1
578,17,96,0,FALSE,5234,FALSE,FALSE,FALSE,1
1,34,0,68,FALSE,98,TRUE,FALSE,FALSE,1
1456,12,122,4,FALSE,72096,FALSE,FALSE,FALSE,1
0,1,0,0,FALSE,0,FALSE,FALSE,,1
14,253,0,2,FALSE,0,TRUE,FALSE,FALSE,1
506,11,48,5,FALSE,41052,TRUE,FALSE,FALSE,1
307,0,21,1,FALSE,423,FALSE,FALSE,FALSE,1
518,5,51,0,FALSE,94196,TRUE,FALSE,FALSE,1
0,118,0,0,FALSE,0,TRUE,TRUE,,1
1,4,0,22,FALSE,4,TRUE,TRUE,FALSE,1
50,2,10,0,FALSE,1228,TRUE,FALSE,FALSE,1
3,336,0,29,FALSE,39,TRUE,FALSE,FALSE,1
394,0,48,0,FALSE,7956,TRUE,FALSE,FALSE,1
428,410,13,630,FALSE,16989,TRUE,FALSE,FALSE,1
630,4,42,96,FALSE,15036,FALSE,FALSE,FALSE,1
928,20,23,7,FALSE,3421,TRUE,FALSE,FALSE,1
44,5,11,3,FALSE,2396,TRUE,FALSE,FALSE,1
20,0,7,0,FALSE,50,TRUE,FALSE,FALSE,1
5831,57,354,16,FALSE,457649,FALSE,FALSE,FALSE,1
26,0,6,0,FALSE,6832,TRUE,FALSE,FALSE,1
10014,27,326,0,FALSE,14473,FALSE,FALSE,TRUE,1
8939,6003,516,710,FALSE,5846,TRUE,FALSE,FALSE,1
2,386,0,28,FALSE,41,TRUE,FALSE,FALSE,1
467,956,0,261,FALSE,5748,FALSE,FALSE,FALSE,1
94,1,25,0,FALSE,2383,FALSE,FALSE,FALSE,1
6664,1,196,0,FALSE,6025,TRUE,FALSE,FALSE,1
0,335,0,24,FALSE,32,TRUE,FALSE,FALSE,1
4,0,1,0,FALSE,1469,FALSE,FALSE,FALSE,1
37,35,8,0,FALSE,9,TRUE,FALSE,FALSE,1
0,247,0,28,FALSE,24,TRUE,FALSE,FALSE,1
14,214,0,0,FALSE,3,TRUE,FALSE,TRUE,1
537,1,18,0,FALSE,281,TRUE,FALSE,FALSE,1
284,66,30,0,FALSE,5986,TRUE,FALSE,FALSE,1
0,27,0,38,FALSE,60,TRUE,FALSE,FALSE,1
80,0,29,0,FALSE,10794,TRUE,FALSE,FALSE,1
120,836,0,1,FALSE,8,TRUE,FALSE,FALSE,1
293,344,2,0,FALSE,8638,FALSE,FALSE,FALSE,1
243,4,4,0,FALSE,69595,TRUE,FALSE,FALSE,1
18,3,8,1,FALSE,1456,TRUE,FALSE,FALSE,1
79,80,3,23,FALSE,901,FALSE,FALSE,FALSE,1
576,31,60,8,FALSE,2370,TRUE,FALSE,FALSE,1
2,42,1,29,FALSE,39,TRUE,FALSE,FALSE,1
0,349,0,42,FALSE,77,TRUE,FALSE,FALSE,1
21,0,7,0,FALSE,1343,TRUE,FALSE,FALSE,1
16,1,4,1,FALSE,2001,TRUE,FALSE,FALSE,1
239,0,53,0,FALSE,22089,TRUE,FALSE,FALSE,1
9968,2,185,3399,FALSE,8782,FALSE,FALSE,FALSE,1
0,223,0,24,FALSE,24,TRUE,FALSE,FALSE,1
8,86,0,12,FALSE,3,TRUE,TRUE,FALSE,1
906,2434,0,277,FALSE,528,TRUE,FALSE,FALSE,1
1,352,0,29,FALSE,33,TRUE,FALSE,FALSE,1
1419,1,61,5,FALSE,32244,FALSE,FALSE,FALSE,1
39,0,0,1,FALSE,303,TRUE,FALSE,TRUE,1
835,2290,22,74533,FALSE,17259,TRUE,FALSE,TRUE,1
2,360,0,27,FALSE,60,TRUE,FALSE,FALSE,1
856,1078,7,0,FALSE,130262,TRUE,FALSE,FALSE,1
240,45,22,66,FALSE,1993,FALSE,FALSE,FALSE,1
4213,0,220,0,FALSE,4364,FALSE,FALSE,FALSE,1
77,490,0,1,FALSE,15,FALSE,FALSE,FALSE,1
0,336,0,23,FALSE,23,TRUE,FALSE,FALSE,1
172,5,21,5,FALSE,3497,FALSE,FALSE,FALSE,1
213,0,38,0,FALSE,1063,TRUE,FALSE,FALSE,1
379,12,38,0,FALSE,22371,FALSE,FALSE,FALSE,1
335,0,32,1,FALSE,17375,FALSE,FALSE,FALSE,1
102,86,0,0,FALSE,1,TRUE,FALSE,TRUE,1
52,0,15,0,FALSE,93310,TRUE,FALSE,FALSE,1
5631,6,188,48,FALSE,6574,FALSE,FALSE,FALSE,1
10,15,0,13,FALSE,3,TRUE,FALSE,FALSE,1
66,1,7,4,FALSE,70,FALSE,FALSE,FALSE,1
4965,0,244,1,FALSE,67870,FALSE,FALSE,FALSE,1
14917,227,27,919,FALSE,53398,FALSE,FALSE,FALSE,1
20,0,16,0,FALSE,42453,TRUE,FALSE,FALSE,1
803,31,34,0,FALSE,808,FALSE,FALSE,FALSE,1
164,0,35,51,FALSE,2714,TRUE,FALSE,FALSE,1
17,1,8,0,FALSE,1522,TRUE,FALSE,FALSE,1
9,0,5,0,FALSE,6,TRUE,FALSE,FALSE,1
9632,0,239,0,FALSE,13936,FALSE,FALSE,FALSE,1
0,86,0,0,FALSE,0,TRUE,TRUE,,1
6,109,0,0,FALSE,2,TRUE,TRUE,FALSE,1
1784,43,89,5,FALSE,389,FALSE,FALSE,FALSE,1
79,0,3,5,FALSE,4007,FALSE,FALSE,FALSE,1
96,29,10,0,FALSE,195,TRUE,FALSE,FALSE,1
600,818,40,651,FALSE,1787,FALSE,FALSE,FALSE,1
52,2,5,0,FALSE,702,TRUE,FALSE,FALSE,1
184,0,8,0,FALSE,1125,TRUE,FALSE,FALSE,1
945,2027,3,2847,FALSE,13935,FALSE,FALSE,FALSE,1
67,0,17,0,FALSE,886,TRUE,FALSE,FALSE,1
1,29,0,48,FALSE,72,TRUE,FALSE,FALSE,1
338,471,5,35,FALSE,260,FALSE,FALSE,TRUE,1
2925,3,139,0,FALSE,708,TRUE,FALSE,FALSE,1
10,0,2,0,FALSE,10370,FALSE,FALSE,FALSE,1
47,197,0,62,FALSE,1,TRUE,FALSE,FALSE,1
54,1351,0,2,FALSE,6,TRUE,FALSE,FALSE,1
0,9,0,0,FALSE,0,TRUE,TRUE,FALSE,1
209,16,20,0,FALSE,21278,FALSE,FALSE,FALSE,1
335,3,22,2,FALSE,4934,FALSE,FALSE,FALSE,1
1,369,0,28,FALSE,36,TRUE,FALSE,FALSE,1
62,0,19,0,FALSE,4106,TRUE,TRUE,FALSE,1
155,0,34,0,FALSE,14702,TRUE,FALSE,FALSE,1
125,1,30,0,FALSE,3201,TRUE,FALSE,FALSE,1
499,53,51,75,FALSE,2592,TRUE,FALSE,FALSE,1
2,1,1,0,FALSE,1360,TRUE,FALSE,FALSE,1
70,5,8,2,FALSE,4310,TRUE,FALSE,FALSE,1
305,4,13,0,FALSE,112538,TRUE,TRUE,FALSE,1
956,0,34,0,FALSE,434,TRUE,FALSE,FALSE,1
543,3911,0,141,FALSE,0,TRUE,FALSE,FALSE,1
37,0,8,0,FALSE,0,TRUE,FALSE,FALSE,1
13,164,1,0,FALSE,5,TRUE,FALSE,FALSE,1
107,30,17,2,FALSE,11151,FALSE,FALSE,FALSE,1
34284,17397,889,0,FALSE,191383,FALSE,FALSE,FALSE,1
273,37,42,0,FALSE,10115,TRUE,FALSE,FALSE,1
8,45,0,3,FALSE,5,TRUE,FALSE,FALSE,1
3459,2282,11,3888,FALSE,57256,FALSE,FALSE,TRUE,1
275,1,2,1,FALSE,1961,FALSE,FALSE,FALSE,1
1325,1797,64,0,FALSE,18265,FALSE,FALSE,FALSE,1
1690,0,38,108,FALSE,15530,TRUE,FALSE,FALSE,1
0,21,0,0,FALSE,1,TRUE,TRUE,FALSE,1
71,0,14,0,FALSE,1490,TRUE,FALSE,FALSE,1
2,501,0,102,FALSE,130,TRUE,FALSE,FALSE,1
4856,2162,85,0,FALSE,1223,FALSE,FALSE,FALSE,1
354,1,47,0,FALSE,29635,TRUE,FALSE,FALSE,1
0,39,0,0,FALSE,0,TRUE,FALSE,,1
455,480,23,42,FALSE,6320,TRUE,FALSE,FALSE,1
1,341,0,44,FALSE,36,TRUE,FALSE,FALSE,1
0,243,0,13,FALSE,18,TRUE,FALSE,FALSE,1
128,1814,0,7,FALSE,18,TRUE,TRUE,FALSE,1
3,39,0,0,FALSE,3,TRUE,TRUE,FALSE,1
151,1437,0,1,FALSE,5,TRUE,FALSE,FALSE,1
137,0,24,0,FALSE,86797,FALSE,FALSE,FALSE,1
2108,3,60,8,FALSE,49270,FALSE,FALSE,FALSE,1
153,0,15,0,FALSE,2072,TRUE,FALSE,FALSE,1
0,27,0,86,FALSE,127,TRUE,FALSE,FALSE,1
41,1,11,0,FALSE,673,TRUE,FALSE,FALSE,1
460,65,26,14,FALSE,9058,TRUE,FALSE,FALSE,1
1569,4882,0,95,FALSE,112,TRUE,FALSE,FALSE,1
7852,1,400,8,FALSE,27610,TRUE,FALSE,FALSE,1
50,0,0,0,FALSE,926,TRUE,TRUE,FALSE,1
74,7,27,1,FALSE,80949,TRUE,FALSE,FALSE,1
2108,1,76,2,FALSE,5619,FALSE,FALSE,FALSE,1
0,266,0,22,FALSE,35,TRUE,FALSE,FALSE,1
1474799,1,6818,1793,FALSE,20990,FALSE,FALSE,FALSE,1
396,0,17,0,FALSE,3608,TRUE,FALSE,FALSE,1
166,25,18,0,FALSE,3622,FALSE,FALSE,FALSE,1
5388,0,178,0,FALSE,31751,FALSE,FALSE,FALSE,1
8,1,7,0,FALSE,258,FALSE,FALSE,FALSE,1
8063,1,13,42,FALSE,119,TRUE,FALSE,FALSE,1
148,0,22,0,FALSE,1723,FALSE,FALSE,FALSE,1
7154703,240,4240,640,TRUE,5995,FALSE,FALSE,FALSE,1
